SampID,Vol.filt.mL,time,Time,biorep,treatment,treatment_number,Pro,BacTot,BacSml,BacLrg,Grz,Phage,MF,FinalBMIS,FinalRSD,Area,Adjusted_Area,Name,RT,mz,MS2,fraction,Predicted_Adduct_Ion,SIRIUS_molecularFormula,SIRIUS_name
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2810,"DL-Histidine, 15N",0.19070127935373235,156909,134323.61130664492,Unknown,11.944,387.11478,FALSE,HILIC_Neg,[M+FA-H]-,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2810,"DL-Histidine, 15N",0.19070127935373235,156909,134323.61130664492,Unknown,11.944,387.11478,FALSE,HILIC_Neg,[M+FA-H]-,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2823,Inj_vol,0.2227256437806776,3368814,3368814,Unknown,2.037,390.25189,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2873,"Cytosine, 13C2, 15N3",0.26328829928222763,2340266,3430690.4128030213,Unknown,11.996,404.10477,TRUE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2894,"Cytosine, 13C2, 15N3",0.27637388311322836,297525,436153.9094569672,Unknown,10.215,412.14658,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2895,"Guanine, 13C, 15N2",0.19444056367179757,1089593,1377993.672272475,Unknown,9.199,412.147,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2905,"Thymine, 2H4",0.06877088224052728,7008714,6130101.938552604,Unknown,10.21,414.16245,TRUE,HILIC_Neg,NA,C15H19N12O3,null
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2959,"DL-Histidine, 15N",0.2045296202820785,2259760,1934491.481599551,Unknown,10.385,441.03741,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2973,Inj_vol,0.2364643064807625,91499,91499,Unknown,9.218,448.12378,FALSE,HILIC_Neg,[M+Cl]-,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2973,Inj_vol,0.2364643064807625,91499,91499,Unknown,9.218,448.12378,FALSE,HILIC_Neg,[M+Cl]-,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_3035,"Sulfoacetic acid, 13C2",0.2574396223330455,0,0,Unknown,11.227,486.09213,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_3041,"Thymine, 2H4",0.17448072540298215,541636,473736.5362019164,Unknown,11.247,487.36606,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_3100,"Sulfoacetic acid, 13C2",0.22909211289585776,235060,219330.61797495696,Unknown,10.545,557.1355,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_3111,"Sucrose, 13C",0.09952648841426212,323326,307266.38895237964,Unknown,13.026,591.06366,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_3117,"DL-Alanine, 2H3",0.1427846417727268,448135,401087.5253727011,UDP-N-acetylglucosamine,11.869,606.07513,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_345,"Sucrose, 13C",0.2348195627283924,9177871,8722005.902527992,Unknown,11.429,101.02325,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_352,"DL-Alanine, 2H3",0.1204960481504226,70250552,62875294.40402169,Unknown,11.202,102.05492,TRUE,HILIC_Neg,NA,NA,NA
