Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
B12,230511_Smp_C_3LV_T36,Ado-B12,6.18,11124,72,6458,#N/A,B12
B12,230511_Smp_C_3LV_T48,Ado-B12,6.18,2032,78,1531,#N/A,B12
B12,230511_Smp_C_4LGV_T0,Ado-B12,6.2,157,15,258,#N/A,B12
B12,230511_Smp_C_4LGV_T12,Ado-B12,6.16,423,3,461,#N/A,B12
B12,230511_Smp_C_4LGV_T24,Ado-B12,6.23,408,0,271,#N/A,B12
B12,230511_Smp_C_4LGV_T36,Ado-B12,6.16,4103,0,2161,#N/A,B12
B12,230511_Smp_C_4LGV_T48,Ado-B12,6.19,1684,49,1413,#N/A,B12
B12,230511_Smp_C_6HV_T0,Ado-B12,6.22,47,19,80,#N/A,B12
B12,230511_Smp_C_6HV_T12,Ado-B12,6.19,283,0,390,#N/A,B12
B12,230511_Smp_C_6HV_T24,Ado-B12,6.12,466,8,176,#N/A,B12
B12,230511_Smp_C_6HV_T36,Ado-B12,6.2,143,155,197,#N/A,B12
B12,230511_Smp_C_6HV_T48,Ado-B12,6.18,1496,97,776,#N/A,B12
B12,230511_Smp_E_2LG_T0,Ado-B12,6.16,25,7,23,#N/A,B12
B12,230511_Smp_E_2LG_T24,Ado-B12,6.21,198,0,393,#N/A,B12
B12,230511_Smp_E_2LG_T36,Ado-B12,6.17,3931,0,1761,#N/A,B12
B12,230511_Smp_E_2LG_T48,Ado-B12,6.19,3087,0,1974,#N/A,B12
B12,230511_Smp_E_3LG_T0,Ado-B12,6.17,434,0,717,#N/A,B12
B12,230511_Smp_E_3LG_T24,Ado-B12,6.19,747,15,920,#N/A,B12
B12,230511_Smp_E_3LG_T36,Ado-B12,6.18,3509,32,1654,#N/A,B12
B12,230511_Smp_E_3LG_T48,Ado-B12,6.17,13454,402,4485,#N/A,B12
B12,230511_Smp_E_4LG_T0,Ado-B12,6.18,1649,37,1393,#N/A,B12
B12,230511_Smp_E_4LG_T24,Ado-B12,6.2,785,34,647,#N/A,B12
B12,230511_Smp_E_4LG_T36,Ado-B12,6.18,3686,85,1329,#N/A,B12
B12,230511_Smp_E_4LG_T48,Ado-B12,6.2,2241,58,951,#N/A,B12
B12,230511_Smp_E_8G_T48,Ado-B12,6.17,1470,0,916,#N/A,B12
