rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
89	C15H16ClN3O19S3	[M + Na]+	C15H16ClN3O19S3	37.96296380213844	27.680055147457782	10.282908654680657	8	0.8659312045681167	-0.22326431281377027	0.4114305625089599	3.0145932767757713		695.91418	788.533	179_200929_Poo_TruePooMortality_DDApos_179
90	C10H22O5	[M + H3N + H]+	C10H25NO5	37.718800874354116	32.026972475463545	5.69182839889057	5	0.5256030087480152	0.42248652226846795	0.5996214540363232	0.287009179989529		240.18062	163.804	29_200929_Poo_TruePooMortality_DDApos_29
91	C10H15NO2S	[M + H]+	C10H15NO2S	37.50628016558135	34.62935863803782	2.8769215275435327	8	0.9479704382865418	5.724702262869689	5.724702262869689	-1.1931678373491512		214.08937	787.851	174_200929_Poo_TruePooMortality_DDApos_174
91	C10H15NO2S	[M + H]+	C10H15NO2S	37.44448764333035	34.51967828140028	2.924809361930067	8	0.9426753475619779	6.9610304653463215	6.9610304653463215	0.6599286170161417		214.08977	428.863	76_200929_Poo_TruePooMortality_DDApos_76
92	C10H22O6	[M + H3N + H]+	C10H25NO6	36.844196403312566	36.844196403312566	0.0	5	0.21995309726885684	1.4339669953863532	1.4339669953863532	0.1663691697219999		256.17551	158.75	24_200929_Poo_TruePooMortality_DDApos_24
93	C10H15NO2S	[M + H]+	C10H15NO2S	35.48937702419714	32.61586232035488	2.873514703842258	8	0.9896307759917911	7.1778585774009125	7.1778585774009125	-0.33789169730739743		214.08955	1293.666	210_200929_Poo_TruePooMortality_DDApos_210
94	C6H13N5O8S5	[M + Na]+	C6H13N5O8S5	35.089601858953316	28.305386227413468	6.784215631539847	7	0.7748243754915243	0.2334182021850965	0.6696962308055721	0.866071291972258		465.92639	789.932	187_200929_Poo_TruePooMortality_DDApos_187
95	C8H11N3O2S	[M + H]+	C8H11N3O2S	34.41643798605958	34.41643798605958	0.0	15	0.977243694644331	4.564613016194662	4.564613016194662	-0.0026816146967857083		214.06447	167.451	40_200929_Poo_TruePooMortality_DDApos_40
96	C9H11NO2	[M + H]+	C9H11NO2	33.83244005422452	30.503213759397234	3.329226294827287	6	0.9801182930297675	1.2791792274679084	1.2791792274679084	0.017403485473465926		166.08626	330.769	65_200929_Poo_TruePooMortality_DDApos_65
96	C9H11NO2	[M + H]+	C9H11NO2	33.585481387010034	30.35943122554913	3.226050161460906	6	0.9721137090942505	2.2349640122741716	2.2349640122741716	0.660511796874564		166.08636	329.233	63_200929_Poo_TruePooMortality_DDApos_63
97	C6H10N2O4PS	[M + Na]+	C6H10N2O4PS	33.29730963647666	29.816198171286192	3.481111465190469	10	0.7215291013824326	-3.4921176802376697	3.4921176802376697	7.882802833634242		260.00116	788.692	183_200929_Poo_TruePooMortality_DDApos_183
98	C5H11NO2	[M + H]+	C5H11NO2	32.62739540120191	28.10405045126401	4.5233449499379015	6	0.8825540393472604	12.802628225900671	12.802628225900671	1.5750830229885728		118.08644	559.347	112_200929_Poo_TruePooMortality_DDApos_112
