GENE.NAME,KEGG,PathwayID,Pathway_info,Details
map,K01265,9112,Enzyme families,01002 Peptidases [BR:ko01002]
ldcA,K01297,9107,Glycan biosynthesis and metabolism,01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
ldcA,K01297,9112,Enzyme families,01002 Peptidases [BR:ko01002]
cxp,K01299,9112,Enzyme families,01002 Peptidases [BR:ko01002]
lon,K01338,9143,Cell growth and death,04112 Cell cycle - Caulobacter [PATH:ko04112]
lon,K01338,9112,Enzyme families,01002 Peptidases [BR:ko01002]
lexA,K01356,9124,Replication and repair,03400 DNA repair and recombination proteins [BR:ko03400]
lexA,K01356,9112,Enzyme families,01002 Peptidases [BR:ko01002]
clpP3,K01358,9143,Cell growth and death,04112 Cell cycle - Caulobacter [PATH:ko04112]
clpP1,K01358,9143,Cell growth and death,04112 Cell cycle - Caulobacter [PATH:ko04112]
clpR,K01358,9143,Cell growth and death,04112 Cell cycle - Caulobacter [PATH:ko04112]
clpP2,K01358,9143,Cell growth and death,04112 Cell cycle - Caulobacter [PATH:ko04112]
clpP3,K01358,9112,Enzyme families,01002 Peptidases [BR:ko01002]
clpP1,K01358,9112,Enzyme families,01002 Peptidases [BR:ko01002]
clpR,K01358,9112,Enzyme families,01002 Peptidases [BR:ko01002]
clpP2,K01358,9112,Enzyme families,01002 Peptidases [BR:ko01002]
clpP3,K01358,9149,Aging,04212 Longevity regulating pathway - worm [PATH:ko04212]
clpP1,K01358,9149,Aging,04212 Longevity regulating pathway - worm [PATH:ko04212]
clpR,K01358,9149,Aging,04212 Longevity regulating pathway - worm [PATH:ko04212]
clpP2,K01358,9149,Aging,04212 Longevity regulating pathway - worm [PATH:ko04212]
tsaD,K01409,9122,Translation,03016 Transfer RNA biogenesis [BR:ko03016]
prlC,K01414,9112,Enzyme families,01002 Peptidases [BR:ko01002]
ansA,K01424,9105,Amino acid metabolism,"00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]"
ansA,K01424,9106,Metabolism of other amino acids,00460 Cyanoamino acid metabolism [PATH:ko00460]
ureC,K01428,9111,Xenobiotics biodegradation and metabolism,00791 Atrazine degradation [PATH:ko00791]
ureC,K01428,9105,Amino acid metabolism,00220 Arginine biosynthesis [PATH:ko00220]
ureC,K01428,9104,Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230]
ureC,K01428,9167,Infectious diseases,05120 Epithelial cell signaling in Helicobacter pylori infection [PATH:ko05120]
ureB,K01429,9105,Amino acid metabolism,00220 Arginine biosynthesis [PATH:ko00220]
ureB,K01429,9104,Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230]
ureB,K01429,9111,Xenobiotics biodegradation and metabolism,00791 Atrazine degradation [PATH:ko00791]
ureA,K01430,9111,Xenobiotics biodegradation and metabolism,00791 Atrazine degradation [PATH:ko00791]
ureA,K01430,9104,Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230]
ureA,K01430,9105,Amino acid metabolism,00220 Arginine biosynthesis [PATH:ko00220]
purU,K01433,9108,Metabolism of cofactors and vitamins,00670 One carbon pool by folate [PATH:ko00670]
purU,K01433,9101,Carbohydrate metabolism,00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]
ama,K01436,9112,Enzyme families,01002 Peptidases [BR:ko01002]
aspA,K01437,9105,Amino acid metabolism,00340 Histidine metabolism [PATH:ko00340]
aspA,K01437,9105,Amino acid metabolism,"00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]"
amiC,K01448,9124,Replication and repair,03036 Chromosome and associated proteins [BR:ko03036]
amiC,K01448,9168,Drug resistance,01503 Cationic antimicrobial peptide (CAMP) resistance [PATH:ko01503]
amiC,K01448,9107,Glycan biosynthesis and metabolism,01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
def,K01462,9191,Metabolism,99999 Others
pyrC,K01465,9104,Nucleotide metabolism,00240 Pyrimidine metabolism [PATH:ko00240]
pyrC_a,K01465,9104,Nucleotide metabolism,00240 Pyrimidine metabolism [PATH:ko00240]
PMM0531,K01470,9105,Amino acid metabolism,00330 Arginine and proline metabolism [PATH:ko00330]
speB,K01480,9105,Amino acid metabolism,00330 Arginine and proline metabolism [PATH:ko00330]
codA,K01485,9105,Amino acid metabolism,00330 Arginine and proline metabolism [PATH:ko00330]
codA,K01485,9104,Nucleotide metabolism,00240 Pyrimidine metabolism [PATH:ko00240]
folD,K01491,9102,Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720]
folD,K01491,9108,Metabolism of cofactors and vitamins,00670 One carbon pool by folate [PATH:ko00670]
dcd,K01494,9104,Nucleotide metabolism,00240 Pyrimidine metabolism [PATH:ko00240]
folE,K01495,9108,Metabolism of cofactors and vitamins,00790 Folate biosynthesis [PATH:ko00790]
PMM0494,K01507,9102,Energy metabolism,00190 Oxidative phosphorylation [PATH:ko00190]
ppa,K01507,9102,Energy metabolism,00190 Oxidative phosphorylation [PATH:ko00190]
mutT,K01515,9104,Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230]
ppx,K01524,9104,Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230]
zntA,K01533,9191,Metabolism,99982 Energy metabolism
PMM1153,K01563,9111,Xenobiotics biodegradation and metabolism,00361 Chlorocyclohexane and chlorobenzene degradation [PATH:ko00361]
PMM1153,K01563,9111,Xenobiotics biodegradation and metabolism,00625 Chloroalkane and chloroalkene degradation [PATH:ko00625]
cad,K01582,9105,Amino acid metabolism,00310 Lysine degradation [PATH:ko00310]
cad,K01582,9110,Biosynthesis of other secondary metabolites,"00960 Tropane, piperidine and pyridine alkaloid biosynthesis [PATH:ko00960]"
speA,K01585,9105,Amino acid metabolism,00330 Arginine and proline metabolism [PATH:ko00330]
lysA,K01586,9105,Amino acid metabolism,00300 Lysine biosynthesis [PATH:ko00300]
purE,K01588,9104,Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230]
purK,K01589,9104,Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230]
